,0,1,2,3,4,5,6
103,10.0,60,0.5146783310679667,0.7697156254205381,9.047218561172485,1.0,1.0
91,10.0,30,0.5493331945724306,0.7701263059059027,6.863409042358398,1.0,1.0
107,10.0,70,0.5069860400317815,0.7702773976337123,9.95504355430603,1.0,1.0
87,10.0,20,0.5717295680794484,0.7706541000767066,6.272702217102051,1.0,1.0
99,10.0,50,0.5236062150796218,0.7706569633323307,8.263429403305054,1.0,1.0
111,10.0,80,0.5005116531262982,0.7715314618171154,10.818828344345093,1.0,1.0
95,10.0,40,0.5333992537757035,0.7718325993666121,7.554161310195923,1.0,1.0
85,10.0,20,0.5688133755429191,0.7745675794483834,6.244673013687134,0.5,1.0
94,10.0,40,0.5140019648664577,0.7750048982569351,7.5688769817352295,1.0,0.5
106,10.0,70,0.5018654496399176,0.7751770158727335,9.858956575393677,1.0,0.5
89,10.0,30,0.5480026430848186,0.7753827516260919,6.875245809555054,0.5,1.0
102,10.0,60,0.5048374075838039,0.7753848810272599,9.164325475692749,1.0,0.5
98,10.0,50,0.508616439378748,0.7755443585282408,8.317561864852905,1.0,0.5
110,10.0,80,0.4995277601767444,0.77568725636219,10.775580406188965,1.0,0.5
101,10.0,60,0.5166151169113807,0.7759080168967859,8.976012945175171,0.5,1.0
86,10.0,20,0.5386532734962236,0.7760958084353827,6.278709173202515,1.0,0.5
97,10.0,50,0.5248163261361909,0.7763005831418762,8.353150606155396,0.5,1.0
105,10.0,70,0.5097713188594218,0.7766542835953972,9.981066703796387,0.5,1.0
90,10.0,30,0.5232592691430864,0.7773640502863769,6.91828465461731,1.0,0.5
109,10.0,80,0.5043612359824947,0.7774423983060638,10.877801656723022,0.5,1.0
93,10.0,40,0.5337472832324148,0.7777864001865638,7.5538623332977295,0.5,1.0
108,10.0,80,0.5066884024950448,0.7807702473712462,10.845451354980469,0.5,0.5
104,10.0,70,0.5078555552094612,0.7808072944918147,9.924210786819458,0.5,0.5
100,10.0,60,0.5095174732397935,0.780900898951263,9.069239377975464,0.5,0.5
96,10.0,50,0.5113800392460831,0.7809062375598197,8.294534921646118,0.5,0.5
92,10.0,40,0.5149115740036626,0.781687777483217,7.47378945350647,0.5,0.5
88,10.0,30,0.5218446925765411,0.7822256743579197,6.878247976303101,0.5,0.5
84,10.0,20,0.5336147110444692,0.7830516861055238,6.275701284408569,0.5,0.5
80,0.1,80,0.0019218246294748994,0.9981996647808743,10.79689908027649,0.5,0.5
72,0.1,60,0.002218958636493664,1.0119299194111622,9.00918459892273,0.5,0.5
76,0.1,70,0.0020521624392004635,1.023639877009782,9.97706389427185,0.5,0.5
68,0.1,50,0.0023964514583631725,1.0258652008264362,8.366633892059326,0.5,0.5
73,0.1,60,0.0027970739394052686,1.0392576218402452,9.10027027130127,0.5,1.0
81,0.1,80,0.0024768743471774443,1.05175636744772,10.812823295593262,0.5,1.0
77,0.1,70,0.0026144674200760474,1.071147937520529,9.970057725906372,0.5,1.0
69,0.1,50,0.0030349417479042743,1.0843965693247397,8.37360692024231,0.5,1.0
64,0.1,40,0.002647814806327366,1.0883359422763526,7.499813079833984,0.5,0.5
82,0.1,80,0.0026205457879373596,1.088794123049755,10.91891884803772,1.0,0.5
78,0.1,70,0.0028069061126060244,1.1099349000964354,9.953042268753052,1.0,0.5
74,0.1,60,0.003118612221758239,1.115956365254381,8.987164497375488,1.0,0.5
