,0,1,2,3,4
20,0.1,80,0.0008006467051499405,0.7723385526178314,0.9128289222717285
19,0.1,70,0.0008202464369203675,0.778196390940835,0.6756134033203125
18,0.1,60,0.0008249726314567627,0.7878165996910201,0.5014557838439941
25,10.0,60,0.5270719285765977,0.7994834682957014,0.5104639530181885
23,10.0,40,0.5281250389591714,0.7996557356416522,0.2652411460876465
21,10.0,20,0.5320366430168654,0.7997732135996707,0.1261143684387207
26,10.0,70,0.5269344900825776,0.7998981767336355,0.6766147613525391
27,10.0,80,0.526799860191706,0.8001430704167218,0.889807939529419
24,10.0,50,0.527413283905636,0.8004530765604879,0.3743405342102051
22,10.0,30,0.5291320560890742,0.8008115187878384,0.1731564998626709
17,0.1,50,0.0008609593978003798,0.8235292932268948,0.3693358898162842
16,0.1,40,0.0009131911843460478,0.8634219829768538,0.2672421932220459
15,0.1,30,0.0011086421481581008,0.9552642885817799,0.18316650390625
12,0.01,70,0.00015921285647118439,0.9682686886143281,0.6606001853942871
13,0.01,80,0.00016184446004342625,0.9694314004867837,0.8838028907775879
11,0.01,60,0.00016041009197591274,1.051087844711375,0.5004546642303467
10,0.01,50,0.00018072815522476144,1.090189131876539,0.37534046173095703
14,0.1,20,0.002946860762183283,1.222119280906134,0.12211060523986816
9,0.01,40,0.00021166311830820756,1.246889087478772,0.2572338581085205
6,0.001,80,1.7048067254225162e-05,1.300137478248327,0.9058229923248291
5,0.001,70,1.536538125539902e-05,1.406445981864654,0.6706106662750244
8,0.01,30,0.00035600405605509746,1.4606662767768948,0.17716121673583984
28,100.0,20,1.6038708983117358,1.6108208166594828,0.12911725044250488
29,100.0,30,1.6038708983117544,1.6108208166595015,0.18016362190246582
31,100.0,50,1.6038708983117593,1.6108208166595066,0.374340295791626
30,100.0,40,1.6038708983117727,1.6108208166595204,0.26323938369750977
33,100.0,70,1.6038708983117986,1.6108208166595468,0.6565961837768555
32,100.0,60,1.6038708983118017,1.6108208166595501,0.49144625663757324
34,100.0,80,1.603870898311814,1.6108208166595621,0.8767962455749512
4,0.001,60,1.414084648126331e-05,1.6150502032880483,0.5144674777984619
3,0.001,50,1.4975752325711087e-05,1.7286101249792891,0.3743400573730469
7,0.01,20,0.002173854971182165,1.9964908541332929,0.1261148452758789
2,0.001,40,2.0247888671843495e-05,2.2884088796147015,0.25823426246643066
1,0.001,30,6.845343607535965e-05,2.9514593013025774,0.17315673828125
0,0.001,20,0.0020663731206588907,5.559718066198445,0.12911677360534668
